code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
PRY,Paraguay,1930,group,1,United States,USA,0,3,L,,
PRY,Paraguay,1930,group,2,Belgium,BEL,1,0,W,,
PRY,Paraguay,1950,group,3,Sweden,SWE,2,2,D,,
PRY,Paraguay,1950,group,4,Italy,ITA,0,2,L,,
PRY,Paraguay,1958,group,5,France,FRA,3,7,L,,
PRY,Paraguay,1958,group,6,Scotland,SCO,3,2,W,,
PRY,Paraguay,1958,group,7,Yugoslavia,YUG,3,3,D,,
PRY,Paraguay,1986,group,8,Iraq,IRQ,1,0,W,,
PRY,Paraguay,1986,group,9,Mexico,MEX,1,1,D,,
PRY,Paraguay,1986,group,10,Belgium,BEL,2,2,D,,
PRY,Paraguay,1986,r16,11,England,ENG,0,3,L,,
PRY,Paraguay,1998,group,12,Bulgaria,BGR,0,0,D,,
PRY,Paraguay,1998,group,13,Spain,ESP,0,0,D,,
PRY,Paraguay,1998,group,14,Nigeria,NGA,3,1,W,,
PRY,Paraguay,1998,r16,15,France,FRA,0,1,L,,
PRY,Paraguay,2002,group,16,South Africa,RSA,2,2,D,,
PRY,Paraguay,2002,group,17,Spain,ESP,1,3,L,,
PRY,Paraguay,2002,group,18,Slovenia,SVN,3,1,W,,
PRY,Paraguay,2002,r16,19,Germany,GER,0,1,L,,
PRY,Paraguay,2006,group,20,England,ENG,0,1,L,,
PRY,Paraguay,2006,group,21,Sweden,SWE,0,1,L,,
PRY,Paraguay,2006,group,22,Trinidad and Tobago,TTO,2,0,W,,
PRY,Paraguay,2010,group,23,Italy,ITA,1,1,D,,
PRY,Paraguay,2010,group,24,Slovakia,SVK,2,0,W,,
PRY,Paraguay,2010,group,25,New Zealand,NZL,0,0,D,,
PRY,Paraguay,2010,r16,26,Japan,JPN,0,0,D,,
PRY,Paraguay,2010,qf,27,Spain,ESP,0,1,L,,
