code,player,wc_goals,wc_assists,wc_apps,years,note
PRY,Nelson Cuevas,3,,,2002;2006,
PRY,Florencio Amarilla,2,,,1958,
PRY,Jorge Lino Romero,2,,,1958,
PRY,Juan Bautista Agüero,2,,,1958,
PRY,José Parodi,2,,,1958,
PRY,Julio César Romero,2,,,1986,
PRY,Roberto Cabañas,2,,,1986,
PRY,Luis Vargas Peña,1,,,1930,
PRY,Atilio López,1,,,1950,
PRY,César López Fretes,1,,,1950,
PRY,Cayetano Ré,1,,,1958,
PRY,Celso Ayala,1,,,1998,
PRY,Miguel Ángel Benítez,1,,,1998,
PRY,José Cardozo,1,,,1998,
PRY,Roque Santa Cruz,1,,,2002,
PRY,Francisco Arce,1,,,2002,
PRY,Jorge Luis Campos,1,,,2002,
PRY,Carlos Gamarra,1,,,2006,
PRY,Antolín Alcaraz,1,,,2010,
PRY,Enrique Vera,1,,,2010,
PRY,Cristian Riveros,1,,,2010,
