code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
ROU,Romania,1930,group,1,Peru,PER,3,1,W,,
ROU,Romania,1930,group,2,Uruguay,URU,0,4,L,,
ROU,Romania,1934,r16,3,Czechoslovakia,CSK,1,2,L,,
ROU,Romania,1938,r16,4,Cuba,CUB,3,3,D,,
ROU,Romania,1970,group,5,England,ENG,0,1,L,,
ROU,Romania,1970,group,6,Czechoslovakia,CSK,2,1,W,,
ROU,Romania,1970,group,7,Brazil,BRA,2,3,L,,
ROU,Romania,1990,group,8,Soviet Union,SUN,2,0,W,,
ROU,Romania,1990,group,9,Cameroon,CMR,1,2,L,,
ROU,Romania,1990,group,10,Argentina,ARG,1,1,D,,
ROU,Romania,1990,r16,11,Republic of Ireland,IRL,0,0,D,,
ROU,Romania,1994,group,12,Colombia,COL,3,1,W,,
ROU,Romania,1994,group,13,Switzerland,SUI,1,4,L,,
ROU,Romania,1994,group,14,United States,USA,1,0,W,,
ROU,Romania,1994,r16,15,Argentina,ARG,3,2,W,,
ROU,Romania,1994,qf,16,Sweden,SWE,2,2,D,,
ROU,Romania,1998,group,17,Colombia,COL,1,0,W,,
ROU,Romania,1998,group,18,England,ENG,2,1,W,,
ROU,Romania,1998,group,19,Tunisia,TUN,1,1,D,,
ROU,Romania,1998,r16,20,Croatia,CRO,0,1,L,,
