code,player,wc_goals,wc_assists,wc_apps,years,note
ROU,Florin Răducioiu,4,,,1994,
ROU,Ștefan Dobay,3,,,1934;1938,
ROU,Gheorghe Hagi,3,,,1994,
ROU,Florea Dumitrache,2,,,1970,
ROU,Marius Lăcătuș,2,,,1990,
ROU,Gabi Balint,2,,,1990,
ROU,Dan Petrescu,2,,,1994;1998,
ROU,Ilie Dumitrescu,2,,,1994,
ROU,Viorel Moldovan,2,,,1998,
ROU,Adalbert Deşu,1,,,1930,
ROU,Constantin Stanciu,1,,,1930,
ROU,Miklós Kovács,1,,,1930,
ROU,Silviu Bindea,1,,,1938,
ROU,Iuliu Baratky,1,,,1938,
ROU,Alexandru Neagu,1,,,1970,
ROU,Emerich Dembrovschi,1,,,1970,
ROU,Adrian Ilie,1,,,1998,
