code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
RUS,Russia,1994,group,1,Brazil,BRA,0,2,L,,
RUS,Russia,1994,group,2,Sweden,SWE,1,3,L,,
RUS,Russia,1994,group,3,Cameroon,CMR,6,1,W,,
RUS,Russia,2002,group,4,Tunisia,TUN,2,0,W,,
RUS,Russia,2002,group,5,Japan,JPN,0,1,L,,
RUS,Russia,2002,group,6,Belgium,BEL,2,3,L,,
RUS,Russia,2014,group,7,South Korea,KOR,1,1,D,,
RUS,Russia,2014,group,8,Belgium,BEL,0,1,L,,
RUS,Russia,2014,group,9,Algeria,DZA,1,1,D,,
RUS,Russia,2018,group,10,Saudi Arabia,KSA,5,0,W,,
RUS,Russia,2018,group,11,Egypt,EGY,3,1,W,,
RUS,Russia,2018,group,12,Uruguay,URU,0,3,L,,
RUS,Russia,2018,r16,13,Spain,ESP,1,1,D,,
RUS,Russia,2018,qf,14,Croatia,CRO,2,2,D,,
