code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
SCO,Scotland,1954,group,1,Austria,AUT,0,1,L,,
SCO,Scotland,1954,group,2,Uruguay,URU,0,7,L,,
SCO,Scotland,1958,group,3,Yugoslavia,YUG,1,1,D,,
SCO,Scotland,1958,group,4,Paraguay,PRY,2,3,L,,
SCO,Scotland,1958,group,5,France,FRA,1,2,L,,
SCO,Scotland,1974,group,6,Zaire,COD,2,0,W,,
SCO,Scotland,1974,group,7,Brazil,BRA,0,0,D,,
SCO,Scotland,1974,group,8,Yugoslavia,YUG,1,1,D,,
SCO,Scotland,1978,group,9,Peru,PER,1,3,L,,
SCO,Scotland,1978,group,10,Iran,IRN,1,1,D,,
SCO,Scotland,1978,group,11,Netherlands,NED,3,2,W,,
SCO,Scotland,1982,group,12,New Zealand,NZL,5,2,W,,
SCO,Scotland,1982,group,13,Brazil,BRA,1,4,L,,
SCO,Scotland,1982,group,14,Soviet Union,SUN,2,2,D,,
SCO,Scotland,1986,group,15,Denmark,DEN,0,1,L,,
SCO,Scotland,1986,group,16,West Germany,GER,1,2,L,,
SCO,Scotland,1986,group,17,Uruguay,URU,0,0,D,,
SCO,Scotland,1990,group,18,Costa Rica,CRI,0,1,L,,
SCO,Scotland,1990,group,19,Sweden,SWE,2,1,W,,
SCO,Scotland,1990,group,20,Brazil,BRA,0,1,L,,
SCO,Scotland,1998,group,21,Brazil,BRA,1,2,L,,
SCO,Scotland,1998,group,22,Norway,NOR,1,1,D,,
SCO,Scotland,1998,group,23,Morocco,MAR,0,3,L,,
