code,player,wc_goals,wc_assists,wc_apps,years,note
SCO,Joe Jordan,4,,,1974;1978;1982,
SCO,Kenny Dalglish,2,,,1978;1982,
SCO,Archie Gemmill,2,,,1978,
SCO,John Wark,2,,,1982,
SCO,Jimmy Murray,1,,,1958,
SCO,Jackie Mudie,1,,,1958,
SCO,Bobby Collins,1,,,1958,
SCO,Sammy Baird,1,,,1958,
SCO,Peter Lorimer,1,,,1974,
SCO,John Robertson,1,,,1982,
SCO,Steve Archibald,1,,,1982,
SCO,David Narey,1,,,1982,
SCO,Graeme Souness,1,,,1982,
SCO,Gordon Strachan,1,,,1986,
SCO,Stuart McCall,1,,,1990,
SCO,Mo Johnston,1,,,1990,
SCO,John Collins,1,,,1998,
SCO,Tom Boyd,1,,,1998,
SCO,Craig Burley,1,,,1998,
