code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
SUI,Switzerland,1934,r16,1,Netherlands,NED,3,2,W,,
SUI,Switzerland,1934,qf,2,Czechoslovakia,CSK,2,3,L,,
SUI,Switzerland,1938,r16,3,Germany,GER,1,1,D,,
SUI,Switzerland,1938,qf,4,Hungary,HUN,0,2,L,,
SUI,Switzerland,1950,group,5,Yugoslavia,YUG,0,3,L,,
SUI,Switzerland,1950,group,6,Brazil,BRA,2,2,D,,
SUI,Switzerland,1950,group,7,Mexico,MEX,2,1,W,,
SUI,Switzerland,1954,group,8,Italy,ITA,2,1,W,,
SUI,Switzerland,1954,group,9,England,ENG,0,2,L,,
SUI,Switzerland,1954,group,10,Italy,ITA,4,1,W,,
SUI,Switzerland,1954,qf,11,Austria,AUT,5,7,L,,
SUI,Switzerland,1962,group,12,Chile,CHL,1,3,L,,
SUI,Switzerland,1962,group,13,West Germany,GER,1,2,L,,
SUI,Switzerland,1962,group,14,Italy,ITA,0,3,L,,
SUI,Switzerland,1966,group,15,West Germany,GER,0,5,L,,
SUI,Switzerland,1966,group,16,Spain,ESP,1,2,L,,
SUI,Switzerland,1966,group,17,Argentina,ARG,0,2,L,,
SUI,Switzerland,1994,group,18,United States,USA,1,1,D,,
SUI,Switzerland,1994,group,19,Romania,ROU,4,1,W,,
SUI,Switzerland,1994,group,20,Colombia,COL,0,2,L,,
SUI,Switzerland,1994,r16,21,Spain,ESP,0,3,L,,
SUI,Switzerland,2006,group,22,France,FRA,0,0,D,,
SUI,Switzerland,2006,group,23,Togo,TGO,2,0,W,,
SUI,Switzerland,2006,group,24,South Korea,KOR,2,0,W,,
SUI,Switzerland,2006,r16,25,Ukraine,UKR,0,0,D,,
SUI,Switzerland,2010,group,26,Spain,ESP,1,0,W,,
SUI,Switzerland,2010,group,27,Chile,CHL,0,1,L,,
SUI,Switzerland,2010,group,28,Honduras,HND,0,0,D,,
SUI,Switzerland,2014,group,29,Ecuador,ECU,2,1,W,,
SUI,Switzerland,2014,group,30,France,FRA,2,5,L,,
SUI,Switzerland,2014,group,31,Honduras,HND,3,0,W,,
SUI,Switzerland,2014,r16,32,Argentina,ARG,0,1,L,,
SUI,Switzerland,2018,group,33,Brazil,BRA,1,1,D,,
SUI,Switzerland,2018,group,34,Serbia,SRB,2,1,W,,
SUI,Switzerland,2018,group,35,Costa Rica,CRI,2,2,D,,
SUI,Switzerland,2018,r16,36,Sweden,SWE,0,1,L,,
SUI,Switzerland,2022,group,37,Cameroon,CMR,1,0,W,,
SUI,Switzerland,2022,group,38,Brazil,BRA,0,1,L,,
SUI,Switzerland,2022,group,39,Serbia,SRB,3,2,W,,
SUI,Switzerland,2022,r16,40,Portugal,POR,1,6,L,,
