code,player,wc_goals,wc_assists,wc_apps,years,note
SUI,Josef Hügi,6,,,1954,
SUI,Xherdan Shaqiri,5,,,2014;2018;2022,
SUI,André Abegglen,4,,,1934;1938,
SUI,Robert Ballaman,4,,,1954,
SUI,Leopold Kielholz,3,,,1934,
SUI,Jacques Fatton,3,,,1950;1954,
SUI,Adrian Knup,2,,,1994,
SUI,Alexander Frei,2,,,2006,
SUI,Blerim Džemaili,2,,,2014;2018,
SUI,Granit Xhaka,2,,,2014;2018,
SUI,Breel Embolo,2,,,2022,
SUI,Willy Jäggi,1,,,1934,
SUI,Ernst Lörtscher,1,,,1938,
SUI,Eugen Walaschek,1,,,1938,
SUI,Alfred Bickel,1,,,1938,
SUI,René Bader,1,,,1950,
SUI,Charles Antenen,1,,,1950,
SUI,Rolf Wüthrich,1,,,1962,
SUI,Heinz Schneiter,1,,,1962,
SUI,René-Pierre Quentin,1,,,1966,
SUI,Georges Bregy,1,,,1994,
SUI,Alain Sutter,1,,,1994,
SUI,Stéphane Chapuisat,1,,,1994,
SUI,Tranquillo Barnetta,1,,,2006,
SUI,Philippe Senderos,1,,,2006,
SUI,Gélson Fernandes,1,,,2010,
SUI,Admir Mehmedi,1,,,2014,
SUI,Haris Seferovic,1,,,2014,
SUI,Steven Zuber,1,,,2018,
SUI,Josip Drmić,1,,,2018,
SUI,Yann Sommer,1,,,2018,
SUI,Remo Freuler,1,,,2022,
SUI,Manuel Akanji,1,,,2022,
