code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
SUN,Soviet Union,1958,group,1,England,ENG,2,2,D,,
SUN,Soviet Union,1958,group,2,Austria,AUT,2,0,W,,
SUN,Soviet Union,1958,group,3,Brazil,BRA,0,2,L,,
SUN,Soviet Union,1958,group,4,England,ENG,1,0,W,,
SUN,Soviet Union,1958,qf,5,Sweden,SWE,0,2,L,,
SUN,Soviet Union,1962,group,6,Yugoslavia,YUG,2,0,W,,
SUN,Soviet Union,1962,group,7,Colombia,COL,4,4,D,,
SUN,Soviet Union,1962,group,8,Uruguay,URU,2,1,W,,
SUN,Soviet Union,1962,qf,9,Chile,CHL,1,2,L,,
SUN,Soviet Union,1966,group,10,North Korea,PRK,3,0,W,,
SUN,Soviet Union,1966,group,11,Italy,ITA,1,0,W,,
SUN,Soviet Union,1966,group,12,Chile,CHL,2,1,W,,
SUN,Soviet Union,1966,qf,13,Hungary,HUN,2,1,W,,
SUN,Soviet Union,1966,sf,14,West Germany,GER,1,2,L,,
SUN,Soviet Union,1966,third,15,Portugal,POR,1,2,L,,
SUN,Soviet Union,1970,group,16,Mexico,MEX,0,0,D,,
SUN,Soviet Union,1970,group,17,Belgium,BEL,4,1,W,,
SUN,Soviet Union,1970,group,18,El Salvador,SLV,2,0,W,,
SUN,Soviet Union,1970,qf,19,Uruguay,URU,0,1,L,,
SUN,Soviet Union,1982,group,20,Brazil,BRA,1,2,L,,
SUN,Soviet Union,1982,group,21,New Zealand,NZL,3,0,W,,
SUN,Soviet Union,1982,group,22,Scotland,SCO,2,2,D,,
SUN,Soviet Union,1982,group2,23,Belgium,BEL,1,0,W,,
SUN,Soviet Union,1982,group2,24,Poland,POL,0,0,D,,
SUN,Soviet Union,1986,group,25,Hungary,HUN,6,0,W,,
SUN,Soviet Union,1986,group,26,France,FRA,1,1,D,,
SUN,Soviet Union,1986,group,27,Canada,CAN,2,0,W,,
SUN,Soviet Union,1986,r16,28,Belgium,BEL,3,4,L,,
SUN,Soviet Union,1990,group,29,Romania,ROU,0,2,L,,
SUN,Soviet Union,1990,group,30,Argentina,ARG,0,2,L,,
SUN,Soviet Union,1990,group,31,Cameroon,CMR,4,0,W,,
