code,player,wc_goals,wc_assists,wc_apps,years,note
SUN,Valentin Ivanov,5,,,1958;1962,
SUN,Igor Chislenko,4,,,1962;1966,
SUN,Valeriy Porkujan,4,,,1966,
SUN,Anatoliy Byshovets,4,,,1970,
SUN,Ihor Belanov,4,,,1986,
SUN,Eduard Malofeyev,3,,,1966,
SUN,Anatoli Ilyin,2,,,1958,
SUN,Viktor Ponedelnik,2,,,1962,
SUN,Oleh Blokhin,2,,,1982;1986,
SUN,Oleksandr Zavarov,2,,,1986;1990,
SUN,Nikita Simonyan,1,,,1958,
SUN,Aleksandr Ivanov,1,,,1958,
SUN,Aleksei Mamykin,1,,,1962,
SUN,Anatoliy Banishevskiy,1,,,1966,
SUN,Kakhi Asatiani,1,,,1970,
SUN,Vitaly Khmelnitsky,1,,,1970,
SUN,Andriy Bal,1,,,1982,
SUN,Yuri Gavrilov,1,,,1982,
SUN,Sergei Baltacha,1,,,1982,
SUN,Aleksandr Chivadze,1,,,1982,
SUN,Ramaz Shengelia,1,,,1982,
SUN,Khoren Hovhannisyan,1,,,1982,
SUN,Pavel Yakovenko,1,,,1986,
SUN,Sergei Aleinikov,1,,,1986,
SUN,Ivan Yaremchuk,1,,,1986,
SUN,Sergey Rodionov,1,,,1986,
SUN,Vasyl Rats,1,,,1986,
SUN,Oleh Protasov,1,,,1990,
SUN,Andrei Zygmantovich,1,,,1990,
SUN,Igor Dobrovolski,1,,,1990,
