code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
SWE,Sweden,1934,r16,1,Argentina,ARG,3,2,W,,
SWE,Sweden,1934,qf,2,Germany,GER,1,2,L,,
SWE,Sweden,1938,qf,3,Cuba,CUB,8,0,W,,
SWE,Sweden,1938,sf,4,Hungary,HUN,1,5,L,,
SWE,Sweden,1938,third,5,Brazil,BRA,2,4,L,,
SWE,Sweden,1950,group,6,Italy,ITA,3,2,W,,
SWE,Sweden,1950,group,7,Paraguay,PRY,2,2,D,,
SWE,Sweden,1950,group,8,Brazil,BRA,1,7,L,,
SWE,Sweden,1950,group,9,Uruguay,URU,2,3,L,,
SWE,Sweden,1950,group,10,Spain,ESP,3,1,W,,
SWE,Sweden,1958,group,11,Mexico,MEX,3,0,W,,
SWE,Sweden,1958,group,12,Hungary,HUN,2,1,W,,
SWE,Sweden,1958,group,13,Wales,WAL,0,0,D,,
SWE,Sweden,1958,qf,14,Soviet Union,SUN,2,0,W,,
SWE,Sweden,1958,sf,15,West Germany,GER,3,1,W,,
SWE,Sweden,1958,final,16,Brazil,BRA,2,5,L,,
SWE,Sweden,1970,group,17,Italy,ITA,0,1,L,,
SWE,Sweden,1970,group,18,Israel,ISR,1,1,D,,
SWE,Sweden,1970,group,19,Uruguay,URU,1,0,W,,
SWE,Sweden,1974,group,20,Bulgaria,BGR,0,0,D,,
SWE,Sweden,1974,group,21,Netherlands,NED,0,0,D,,
SWE,Sweden,1974,group,22,Uruguay,URU,3,0,W,,
SWE,Sweden,1974,group2,23,Poland,POL,0,1,L,,
SWE,Sweden,1974,group2,24,West Germany,GER,2,4,L,,
SWE,Sweden,1974,group2,25,Yugoslavia,YUG,2,1,W,,
SWE,Sweden,1978,group,26,Brazil,BRA,1,1,D,,
SWE,Sweden,1978,group,27,Austria,AUT,0,1,L,,
SWE,Sweden,1978,group,28,Spain,ESP,0,1,L,,
SWE,Sweden,1990,group,29,Brazil,BRA,1,2,L,,
SWE,Sweden,1990,group,30,Scotland,SCO,1,2,L,,
SWE,Sweden,1990,group,31,Costa Rica,CRI,1,2,L,,
SWE,Sweden,1994,group,32,Cameroon,CMR,2,2,D,,
SWE,Sweden,1994,group,33,Russia,RUS,3,1,W,,
SWE,Sweden,1994,group,34,Brazil,BRA,1,1,D,,
SWE,Sweden,1994,r16,35,Saudi Arabia,KSA,3,1,W,,
SWE,Sweden,1994,qf,36,Romania,ROU,2,2,D,,
SWE,Sweden,1994,sf,37,Brazil,BRA,0,1,L,,
SWE,Sweden,1994,third,38,Bulgaria,BGR,4,0,W,,
SWE,Sweden,2002,group,39,England,ENG,1,1,D,,
SWE,Sweden,2002,group,40,Nigeria,NGA,2,1,W,,
SWE,Sweden,2002,group,41,Argentina,ARG,1,1,D,,
SWE,Sweden,2002,r16,42,Senegal,SEN,1,2,L,,
SWE,Sweden,2006,group,43,Trinidad and Tobago,TTO,0,0,D,,
SWE,Sweden,2006,group,44,Paraguay,PRY,1,0,W,,
SWE,Sweden,2006,group,45,England,ENG,2,2,D,,
SWE,Sweden,2006,r16,46,Germany,GER,0,2,L,,
SWE,Sweden,2018,group,47,South Korea,KOR,1,0,W,,
SWE,Sweden,2018,group,48,Germany,GER,1,2,L,,
SWE,Sweden,2018,group,49,Mexico,MEX,3,0,W,,
SWE,Sweden,2018,r16,50,Switzerland,SUI,1,0,W,,
SWE,Sweden,2018,qf,51,England,ENG,0,2,L,,
