code,player,wc_goals,wc_assists,wc_apps,years,note
SWE,Kennet Andersson,5,,,1994,
SWE,Henrik Larsson,5,,,1994;2002;2006,
SWE,Agne Simonsson,4,,,1958,
SWE,Kurt Hamrin,4,,,1958,
SWE,Ralf Edström,4,,,1974,
SWE,Tomas Brolin,4,,,1990;1994,
SWE,Martin Dahlin,4,,,1994,
SWE,Sven Jonasson,3,,,1934;1938,
SWE,Harry Andersson,3,,,1938,
SWE,Gustav Wetterström,3,,,1938,
SWE,Arne Nyberg,3,,,1938,
SWE,Stig Sundqvist,3,,,1950,
SWE,Karl-Erik Palmér,3,,,1950,
SWE,Hasse Jeppson,2,,,1950,
SWE,Sune Andersson,2,,,1950,
SWE,Nils Liedholm,2,,,1958,
SWE,Roland Sandberg,2,,,1974,
SWE,Andreas Granqvist,2,,,2018,
SWE,Knut Kroon,1,,,1934,
SWE,Gösta Dunker,1,,,1934,
SWE,Tore Keller,1,,,1938,
SWE,Sven Jacobsson,1,,,1938,
SWE,Bror Mellberg,1,,,1950,
SWE,Lennart Skoglund,1,,,1958,
SWE,Gunnar Gren,1,,,1958,
SWE,Tom Turesson,1,,,1970,
SWE,Ove Grahn,1,,,1970,
SWE,Conny Torstensson,1,,,1974,
SWE,Thomas Sjöberg,1,,,1978,
SWE,Glenn Strömberg,1,,,1990,
SWE,Johnny Ekström,1,,,1990,
SWE,Roger Ljung,1,,,1994,
SWE,Håkan Mild,1,,,1994,
SWE,Niclas Alexandersson,1,,,2002,
SWE,Anders Svensson,1,,,2002,
SWE,Freddie Ljungberg,1,,,2006,
SWE,Marcus Allbäck,1,,,2006,
SWE,Ola Toivonen,1,,,2018,
SWE,Ludwig Augustinsson,1,,,2018,
SWE,Emil Forsberg,1,,,2018,
