code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
TUN,Tunisia,1978,group,1,Mexico,MEX,3,1,W,,
TUN,Tunisia,1978,group,2,Poland,POL,0,1,L,,
TUN,Tunisia,1978,group,3,West Germany,GER,0,0,D,,
TUN,Tunisia,1998,group,4,England,ENG,0,2,L,,
TUN,Tunisia,1998,group,5,Colombia,COL,0,1,L,,
TUN,Tunisia,1998,group,6,Romania,ROU,1,1,D,,
TUN,Tunisia,2002,group,7,Russia,RUS,0,2,L,,
TUN,Tunisia,2002,group,8,Belgium,BEL,1,1,D,,
TUN,Tunisia,2002,group,9,Japan,JPN,0,2,L,,
TUN,Tunisia,2006,group,10,Saudi Arabia,KSA,2,2,D,,
TUN,Tunisia,2006,group,11,Spain,ESP,1,3,L,,
TUN,Tunisia,2006,group,12,Ukraine,UKR,0,1,L,,
TUN,Tunisia,2018,group,13,England,ENG,1,2,L,,
TUN,Tunisia,2018,group,14,Belgium,BEL,2,5,L,,
TUN,Tunisia,2018,group,15,Panama,PAN,2,1,W,,
TUN,Tunisia,2022,group,16,Denmark,DEN,0,0,D,,
TUN,Tunisia,2022,group,17,Australia,AUS,0,1,L,,
TUN,Tunisia,2022,group,18,France,FRA,1,0,W,,
