code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
TUR,Turkey,1954,group,1,West Germany,GER,1,4,L,,
TUR,Turkey,1954,group,2,South Korea,KOR,7,0,W,,
TUR,Turkey,1954,group,3,West Germany,GER,2,7,L,,
TUR,Turkey,2002,group,4,Brazil,BRA,1,2,L,,
TUR,Turkey,2002,group,5,Costa Rica,CRI,1,1,D,,
TUR,Turkey,2002,group,6,China,CHN,3,0,W,,
TUR,Turkey,2002,r16,7,Japan,JPN,1,0,W,,
TUR,Turkey,2002,qf,8,Senegal,SEN,1,0,W,,
TUR,Turkey,2002,sf,9,Brazil,BRA,0,1,L,,
TUR,Turkey,2002,third,10,South Korea,KOR,3,2,W,,
