code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
URU,Uruguay,1930,group,1,Peru,PER,1,0,W,,
URU,Uruguay,1930,group,2,Romania,ROU,4,0,W,,
URU,Uruguay,1930,sf,3,Yugoslavia,YUG,6,1,W,,
URU,Uruguay,1930,final,4,Argentina,ARG,4,2,W,,
URU,Uruguay,1950,group,5,Bolivia,BOL,8,0,W,,
URU,Uruguay,1950,group,6,Spain,ESP,2,2,D,,
URU,Uruguay,1950,group,7,Sweden,SWE,3,2,W,,
URU,Uruguay,1950,group,8,Brazil,BRA,2,1,W,,
URU,Uruguay,1954,group,9,Czechoslovakia,CSK,2,0,W,,
URU,Uruguay,1954,group,10,Scotland,SCO,7,0,W,,
URU,Uruguay,1954,qf,11,England,ENG,4,2,W,,
URU,Uruguay,1954,sf,12,Hungary,HUN,2,4,L,,
URU,Uruguay,1954,third,13,Austria,AUT,1,3,L,,
URU,Uruguay,1962,group,14,Colombia,COL,2,1,W,,
URU,Uruguay,1962,group,15,Yugoslavia,YUG,1,3,L,,
URU,Uruguay,1962,group,16,Soviet Union,SUN,1,2,L,,
URU,Uruguay,1966,group,17,England,ENG,0,0,D,,
URU,Uruguay,1966,group,18,France,FRA,2,1,W,,
URU,Uruguay,1966,group,19,Mexico,MEX,0,0,D,,
URU,Uruguay,1966,qf,20,West Germany,GER,0,4,L,,
URU,Uruguay,1970,group,21,Israel,ISR,2,0,W,,
URU,Uruguay,1970,group,22,Italy,ITA,0,0,D,,
URU,Uruguay,1970,group,23,Sweden,SWE,0,1,L,,
URU,Uruguay,1970,qf,24,Soviet Union,SUN,1,0,W,,
URU,Uruguay,1970,sf,25,Brazil,BRA,1,3,L,,
URU,Uruguay,1970,third,26,West Germany,GER,0,1,L,,
URU,Uruguay,1974,group,27,Netherlands,NED,0,2,L,,
URU,Uruguay,1974,group,28,Bulgaria,BGR,1,1,D,,
URU,Uruguay,1974,group,29,Sweden,SWE,0,3,L,,
URU,Uruguay,1986,group,30,West Germany,GER,1,1,D,,
URU,Uruguay,1986,group,31,Denmark,DEN,1,6,L,,
URU,Uruguay,1986,group,32,Scotland,SCO,0,0,D,,
URU,Uruguay,1986,r16,33,Argentina,ARG,0,1,L,,
URU,Uruguay,1990,group,34,Spain,ESP,0,0,D,,
URU,Uruguay,1990,group,35,Belgium,BEL,1,3,L,,
URU,Uruguay,1990,group,36,South Korea,KOR,1,0,W,,
URU,Uruguay,1990,r16,37,Italy,ITA,0,2,L,,
URU,Uruguay,2002,group,38,Denmark,DEN,1,2,L,,
URU,Uruguay,2002,group,39,France,FRA,0,0,D,,
URU,Uruguay,2002,group,40,Senegal,SEN,3,3,D,,
URU,Uruguay,2010,group,41,France,FRA,0,0,D,,
URU,Uruguay,2010,group,42,South Africa,RSA,3,0,W,,
URU,Uruguay,2010,group,43,Mexico,MEX,1,0,W,,
URU,Uruguay,2010,r16,44,South Korea,KOR,2,1,W,,
URU,Uruguay,2010,qf,45,Ghana,GHA,1,1,D,,
URU,Uruguay,2010,sf,46,Netherlands,NED,2,3,L,,
URU,Uruguay,2010,third,47,Germany,GER,2,3,L,,
URU,Uruguay,2014,group,48,Costa Rica,CRI,1,3,L,,
URU,Uruguay,2014,group,49,England,ENG,2,1,W,,
URU,Uruguay,2014,group,50,Italy,ITA,1,0,W,,
URU,Uruguay,2014,r16,51,Colombia,COL,0,2,L,,
URU,Uruguay,2018,group,52,Egypt,EGY,1,0,W,,
URU,Uruguay,2018,group,53,Saudi Arabia,KSA,1,0,W,,
URU,Uruguay,2018,group,54,Russia,RUS,3,0,W,,
URU,Uruguay,2018,r16,55,Portugal,POR,2,1,W,,
URU,Uruguay,2018,qf,56,France,FRA,0,2,L,,
URU,Uruguay,2022,group,57,South Korea,KOR,0,0,D,,
URU,Uruguay,2022,group,58,Portugal,POR,0,2,L,,
URU,Uruguay,2022,group,59,Ghana,GHA,2,0,W,,
