code,player,wc_goals,wc_assists,wc_apps,years,note
URU,Oscar Míguez,8,,,1950;1954,
URU,Luis Suárez,7,,,2010;2014;2018,
URU,Diego Forlán,6,,,2002;2010,
URU,Pedro Cea,5,,,1930,
URU,Juan Alberto Schiaffino,5,,,1950;1954,
URU,Edinson Cavani,5,,,2010;2014;2018,
URU,Alcides Ghiggia,4,,,1950,
URU,Carlos Borges,4,,,1954,
URU,Peregrino Anselmo,3,,,1930,
URU,Juan Hohberg,3,,,1954,
URU,Héctor Castro,2,,,1930,
URU,Pablo Dorado,2,,,1930,
URU,Santos Iriarte,2,,,1930,
URU,Obdulio Varela,2,,,1950;1954,
URU,Julio Abbadie,2,,,1954,
URU,Luis Cubilla,2,,,1962;1970,
URU,José Sasía,2,,,1962,
URU,Giorgian De Arrascaeta,2,,,2022,
URU,Héctor Scarone,1,,,1930,
URU,Ernesto Vidal,1,,,1950,
URU,Julio Pérez,1,,,1950,
URU,Javier Ambrois,1,,,1954,
URU,Luis Cruz,1,,,1954,
URU,Ángel Cabrera,1,,,1962,
URU,Pedro Rocha,1,,,1966,
URU,Julio César Cortés,1,,,1966,
URU,Ildo Maneiro,1,,,1970,
URU,Juan Mujica,1,,,1970,
URU,Víctor Espárrago,1,,,1970,
URU,Ricardo Pavoni,1,,,1974,
URU,Antonio Alzamendi,1,,,1986,
URU,Enzo Francescoli,1,,,1986,
URU,Pablo Bengoechea,1,,,1990,
URU,Daniel Fonseca,1,,,1990,
URU,Darío Rodríguez,1,,,2002,
URU,Richard Morales,1,,,2002,
URU,Álvaro Recoba,1,,,2002,
URU,Álvaro Pereira,1,,,2010,
URU,Maxi Pereira,1,,,2010,
URU,Diego Godín,1,,,2014,
URU,José Giménez,1,,,2018,
