code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
USA,United States,1930,group,1,Belgium,BEL,3,0,W,,
USA,United States,1930,group,2,Paraguay,PRY,3,0,W,,
USA,United States,1930,sf,3,Argentina,ARG,1,6,L,,
USA,United States,1934,r16,4,Italy,ITA,1,7,L,,
USA,United States,1950,group,5,Spain,ESP,1,3,L,,
USA,United States,1950,group,6,England,ENG,1,0,W,,
USA,United States,1950,group,7,Chile,CHL,2,5,L,,
USA,United States,1990,group,8,Czechoslovakia,CSK,1,5,L,,
USA,United States,1990,group,9,Italy,ITA,0,1,L,,
USA,United States,1990,group,10,Austria,AUT,1,2,L,,
USA,United States,1994,group,11,Switzerland,SUI,1,1,D,,
USA,United States,1994,group,12,Colombia,COL,2,1,W,,
USA,United States,1994,group,13,Romania,ROU,0,1,L,,
USA,United States,1994,r16,14,Brazil,BRA,0,1,L,,
USA,United States,1998,group,15,Germany,GER,0,2,L,,
USA,United States,1998,group,16,Iran,IRN,1,2,L,,
USA,United States,1998,group,17,Yugoslavia,YUG,0,1,L,,
USA,United States,2002,group,18,Portugal,POR,3,2,W,,
USA,United States,2002,group,19,South Korea,KOR,1,1,D,,
USA,United States,2002,group,20,Poland,POL,1,3,L,,
USA,United States,2002,r16,21,Mexico,MEX,2,0,W,,
USA,United States,2002,qf,22,Germany,GER,0,1,L,,
USA,United States,2006,group,23,Czech Republic,CZE,0,3,L,,
USA,United States,2006,group,24,Italy,ITA,1,1,D,,
USA,United States,2006,group,25,Ghana,GHA,1,2,L,,
USA,United States,2010,group,26,England,ENG,1,1,D,,
USA,United States,2010,group,27,Slovenia,SVN,2,2,D,,
USA,United States,2010,group,28,Algeria,DZA,1,0,W,,
USA,United States,2010,r16,29,Ghana,GHA,1,2,L,,
USA,United States,2014,group,30,Ghana,GHA,2,1,W,,
USA,United States,2014,group,31,Portugal,POR,2,2,D,,
USA,United States,2014,group,32,Germany,GER,0,1,L,,
USA,United States,2014,r16,33,Belgium,BEL,1,2,L,,
USA,United States,2022,group,34,Wales,WAL,1,1,D,,
USA,United States,2022,group,35,England,ENG,0,0,D,,
USA,United States,2022,group,36,Iran,IRN,1,0,W,,
USA,United States,2022,r16,37,Netherlands,NED,1,3,L,,
