code,player,wc_goals,wc_assists,wc_apps,years,note
USA,Landon Donovan,5,,,2002;2010,
USA,Bert Patenaude,4,,,1930,
USA,Clint Dempsey,4,,,2006;2010;2014,
USA,Brian McBride,3,,,1998;2002,
USA,Bart McGhee,1,,,1930,
USA,Tom Florie,1,,,1930,
USA,Jim Brown,1,,,1930,
USA,Aldo Donelli,1,,,1934,
USA,Gino Pariani,1,,,1950,
USA,Joe Gaetjens,1,,,1950,
USA,Frank Wallace,1,,,1950,
USA,Joe Maca,1,,,1950,
USA,Paul Caligiuri,1,,,1990,
USA,Bruce Murray,1,,,1990,
USA,Eric Wynalda,1,,,1994,
USA,Earnie Stewart,1,,,1994,
USA,John O'Brien,1,,,2002,
USA,Jeff Agoos,1,,,2002,
USA,Clint Mathis,1,,,2002,
USA,Michael Bradley,1,,,2010,
USA,John Brooks,1,,,2014,
USA,Jermaine Jones,1,,,2014,
USA,Julian Green,1,,,2014,
USA,Timothy Weah,1,,,2022,
USA,Christian Pulisic,1,,,2022,
USA,Haji Wright,1,,,2022,
