code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
YUG,Yugoslavia,1930,group,1,Brazil,BRA,2,1,W,,
YUG,Yugoslavia,1930,group,2,Bolivia,BOL,4,0,W,,
YUG,Yugoslavia,1930,sf,3,Uruguay,URU,1,6,L,,
YUG,Yugoslavia,1950,group,4,Switzerland,SUI,3,0,W,,
YUG,Yugoslavia,1950,group,5,Mexico,MEX,4,1,W,,
YUG,Yugoslavia,1950,group,6,Brazil,BRA,0,2,L,,
YUG,Yugoslavia,1954,group,7,France,FRA,1,0,W,,
YUG,Yugoslavia,1954,group,8,Brazil,BRA,1,1,D,,
YUG,Yugoslavia,1954,qf,9,West Germany,GER,0,2,L,,
YUG,Yugoslavia,1958,group,10,Scotland,SCO,1,1,D,,
YUG,Yugoslavia,1958,group,11,France,FRA,3,2,W,,
YUG,Yugoslavia,1958,group,12,Paraguay,PRY,3,3,D,,
YUG,Yugoslavia,1958,qf,13,West Germany,GER,0,1,L,,
YUG,Yugoslavia,1962,group,14,Soviet Union,SUN,0,2,L,,
YUG,Yugoslavia,1962,group,15,Uruguay,URU,3,1,W,,
YUG,Yugoslavia,1962,group,16,Colombia,COL,5,0,W,,
YUG,Yugoslavia,1962,qf,17,West Germany,GER,1,0,W,,
YUG,Yugoslavia,1962,sf,18,Czechoslovakia,CSK,1,3,L,,
YUG,Yugoslavia,1962,third,19,Chile,CHL,0,1,L,,
YUG,Yugoslavia,1974,group,20,Brazil,BRA,0,0,D,,
YUG,Yugoslavia,1974,group,21,Zaire,COD,9,0,W,,
YUG,Yugoslavia,1974,group,22,Scotland,SCO,1,1,D,,
YUG,Yugoslavia,1974,group2,23,West Germany,GER,0,2,L,,
YUG,Yugoslavia,1974,group2,24,Poland,POL,1,2,L,,
YUG,Yugoslavia,1974,group2,25,Sweden,SWE,1,2,L,,
YUG,Yugoslavia,1982,group,26,Northern Ireland,NIR,0,0,D,,
YUG,Yugoslavia,1982,group,27,Spain,ESP,1,2,L,,
YUG,Yugoslavia,1982,group,28,Honduras,HND,1,0,W,,
YUG,Yugoslavia,1990,group,29,West Germany,GER,1,4,L,,
YUG,Yugoslavia,1990,group,30,Colombia,COL,1,0,W,,
YUG,Yugoslavia,1990,group,31,United Arab Emirates,ARE,4,1,W,,
YUG,Yugoslavia,1990,r16,32,Spain,ESP,2,1,W,,
YUG,Yugoslavia,1990,qf,33,Argentina,ARG,0,0,D,,
YUG,Yugoslavia,1998,group,34,Iran,IRN,1,0,W,,
YUG,Yugoslavia,1998,group,35,Germany,GER,2,2,D,,
YUG,Yugoslavia,1998,group,36,United States,USA,1,0,W,,
YUG,Yugoslavia,1998,r16,37,Netherlands,NED,1,2,L,,
