code,player,wc_goals,wc_assists,wc_apps,years,note
YUG,Dražan Jerković,4,,,1962,
YUG,Ivan Bek,3,,,1930,
YUG,Todor Veselinović,3,,,1958,
YUG,Milan Galić,3,,,1962,
YUG,Dušan Bajević,3,,,1974,
YUG,Dragan Stojković,3,,,1990;1998,
YUG,Đorđe Vujadinović,2,,,1930,
YUG,Kosta Tomašević,2,,,1950,
YUG,Željko Čajkovski,2,,,1950,
YUG,Aleksandar Petaković,2,,,1958,
YUG,Ivica Šurjak,2,,,1974,
YUG,Stanislav Karasi,2,,,1974,
YUG,Davor Jozić,2,,,1990,
YUG,Darko Pančev,2,,,1990,
YUG,Siniša Mihajlović,2,,,1998,
YUG,Slobodan Komljenović,2,,,1998,
YUG,Aleksandar Tirnanić,1,,,1930,
YUG,Blagoje Marjanović,1,,,1930,
YUG,Rajko Mitić,1,,,1950,
YUG,Tihomir Ognjanov,1,,,1950,
YUG,Stjepan Bobek,1,,,1950,
YUG,Miloš Milutinović,1,,,1954,
YUG,Branko Zebec,1,,,1954,
YUG,Ivica Horvat,1,,,1954,
YUG,Radivoje Ognjanović,1,,,1958,
YUG,Zdravko Rajkov,1,,,1958,
YUG,Josip Skoblar,1,,,1962,
YUG,Vojislav Melić,1,,,1962,
YUG,Petar Radaković,1,,,1962,
YUG,Dragan Džajić,1,,,1974,
YUG,Josip Katalinski,1,,,1974,
YUG,Vladislav Bogićević,1,,,1974,
YUG,Branko Oblak,1,,,1974,
YUG,Ilija Petković,1,,,1974,
YUG,Ivan Gudelj,1,,,1982,
YUG,Vladimir Petrović,1,,,1982,
YUG,Safet Sušić,1,,,1990,
YUG,Robert Prosinečki,1,,,1990,
YUG,Predrag Mijatović,1,,,1998,
