match_no,team_a,team_b,Coach_a,P1num_a,P1name_a,P2num_a,P2name_a,P3num_a,P3name_a,P4num_a,P4name_a,P5num_a,P5name_a,P6num_a,P6name_a,P7num_a,P7name_a,P8num_a,P8name_a,P9num_a,P9name_a,P10num_a,P10name_a,P11num_a,P11name_a,Coach_b,P1num_b,P1name_b,P2num_b,P2name_b,P3num_b,P3name_b,P4num_b,P4name_b,P5num_b,P5name_b,P6num_b,P6name_b,P7num_b,P7name_b,P8num_b,P8name_b,P9num_b,P9name_b,P10num_b,P10name_b,P11num_b,P11name_b
1,Mexico,South Africa,Javier Aguirre,13,Ochoa,3,Sánchez,5,Montes,4,Vásquez,23,Gallardo,4,Edson Álvarez,14,Chávez,22,Lozano,16,Pizarro,10,Vega,9,Giménez,Hugo Broos,16,Williams,2,Mudau,5,Mbekile,4,Modiba,3,Mobbie,8,Mokoena,6,Sithebe,18,Zwane,11,Tau,10,Mofokeng,9,Foster
2,South Korea,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Canada,Bosnia & Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,USA,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Qatar,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brazil,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Haiti,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Australia,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Germany,Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Netherlands,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ivory Coast,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sweden,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Spain,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Belgium,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saudi Arabia,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Iran,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
