match_no,team_a,team_b,Headline_a,Headline_b,Hook_a,Hook_b,Comment_a,Comment_b,Star1_a,Star1_b
1,Mexico,South Africa,,,,,,,,
2,South Korea,Czech Republic,,,,,,,,
3,Canada,Bosnia & Herzegovina,,,,,,,,
4,USA,Paraguay,,,,,,,,
5,Qatar,Switzerland,,,,,,,,
6,Brazil,Morocco,,,,,,,,
7,Haiti,Scotland,,,,,,,,
8,Australia,Turkey,,,,,,,,
9,Germany,Curacao,,,,,,,,
10,Netherlands,Japan,,,,,,,,
11,Ivory Coast,Ecuador,,,,,,,,
12,Sweden,Tunisia,,,,,,,,
13,Spain,Cape Verde,,,,,,,,
14,Belgium,Egypt,,,,,,,,
15,Saudi Arabia,Uruguay,,,,,,,,
16,Iran,New Zealand,,,,,,,,
17,France,Senegal,,,,,,,,
18,Iraq,Norway,,,,,,,,
19,Argentina,Algeria,,,,,,,,
20,Austria,Jordan,,,,,,,,
21,Portugal,DR Congo,,,,,,,,
22,England,Croatia,,,,,,,,
23,Ghana,Panama,,,,,,,,
24,Uzbekistan,Colombia,,,,,,,,
25,Czech Republic,South Africa,,,,,,,,
26,Switzerland,Bosnia & Herzegovina,,,,,,,,
27,Canada,Qatar,,,,,,,,
28,Mexico,South Korea,,,,,,,,
29,USA,Australia,,,,,,,,
30,Scotland,Morocco,,,,,,,,
31,Brazil,Haiti,,,,,,,,
32,Turkey,Paraguay,,,,,,,,
33,Netherlands,Sweden,,,,,,,,
34,Germany,Ivory Coast,,,,,,,,
35,Ecuador,Curacao,,,,,,,,
36,Tunisia,Japan,,,,,,,,
37,Spain,Saudi Arabia,,,,,,,,
38,Belgium,Iran,,,,,,,,
39,Uruguay,Cape Verde,,,,,,,,
40,New Zealand,Egypt,,,,,,,,
41,Argentina,Austria,,,,,,,,
42,France,Iraq,,,,,,,,
43,Norway,Senegal,,,,,,,,
44,Jordan,Algeria,,,,,,,,
45,Portugal,Uzbekistan,,,,,,,,
46,England,Ghana,,,,,,,,
47,Panama,Croatia,,,,,,,,
48,Colombia,DR Congo,,,,,,,,
49,Switzerland,Canada,,,,,,,,
50,Bosnia & Herzegovina,Qatar,,,,,,,,
51,Morocco,Haiti,,,,,,,,
52,Scotland,Brazil,,,,,,,,
53,South Africa,South Korea,,,,,,,,
54,Czech Republic,Mexico,,,,,,,,
55,Curacao,Ivory Coast,,,,,,,,
56,Ecuador,Germany,,,,,,,,
57,Tunisia,Netherlands,,,,,,,,
58,Japan,Sweden,,,,,,,,
59,Turkey,USA,,,,,,,,
60,Paraguay,Australia,,,,,,,,
61,Norway,France,,,,,,,,
62,Senegal,Iraq,,,,,,,,
63,Cape Verde,Saudi Arabia,,,,,,,,
64,Uruguay,Spain,,,,,,,,
65,New Zealand,Belgium,,,,,,,,
66,Egypt,Iran,,,,,,,,
67,Panama,England,,,,,,,,
68,Croatia,Ghana,,,,,,,,
69,Colombia,Portugal,,,,,,,,
70,DR Congo,Uzbekistan,,,,,,,,
71,Algeria,Austria,,,,,,,,
72,Jordan,Argentina,,,,,,,,
